Gene,SetType,DiseaseType
8473,disease,HCC
857,disease,HCC
8678,disease,HCC
8841,disease,HCC
8856,disease,HCC
90627,disease,HCC
9970,disease,HCC
10011,disease,HCC
100507436,disease,HCC
10059,disease,HCC
10062,disease,HCC
10232,disease,HCC
10253,disease,HCC
1033,disease,HCC
10404,disease,HCC
1050,disease,HCC
105371045,disease,HCC
10577,disease,HCC
10631,disease,HCC
10658,disease,HCC
10855,disease,HCC
10935,disease,HCC
11060,disease,HCC
113130,disease,HCC
1163,disease,HCC
1385,disease,HCC
142,disease,HCC
1490,disease,HCC
1634,disease,HCC
1728,disease,HCC
1786,disease,HCC
1788,disease,HCC
1958,disease,HCC
200315,disease,HCC
2017,disease,HCC
2034,disease,HCC
2184,disease,HCC
2185,disease,HCC
2194,disease,HCC
2203,disease,HCC
221937,disease,HCC
2272,disease,HCC
22882,disease,HCC
22934,disease,HCC
23028,disease,HCC
2309,disease,HCC
2324,disease,HCC
2335,disease,HCC
23468,disease,HCC
23481,disease,HCC
23512,disease,HCC
2353,disease,HCC
2597,disease,HCC
26230,disease,HCC
2626,disease,HCC
2645,disease,HCC
26471,disease,HCC
26524,disease,HCC
2678,disease,HCC
2697,disease,HCC
282617,disease,HCC
29028,disease,HCC
3065,disease,HCC
30968,disease,HCC
310,disease,HCC
3159,disease,HCC
3178,disease,HCC
3295,disease,HCC
331,disease,HCC
3313,disease,HCC
3417,disease,HCC
3458,disease,HCC
3481,disease,HCC
355,disease,HCC
3586,disease,HCC
3605,disease,HCC
3608,disease,HCC
3716,disease,HCC
3717,disease,HCC
3726,disease,HCC
3791,disease,HCC
3959,disease,HCC
4082,disease,HCC
4087,disease,HCC
4088,disease,HCC
4092,disease,HCC
4143,disease,HCC
4283,disease,HCC
4288,disease,HCC
4318,disease,HCC
435,disease,HCC
444,disease,HCC
4485,disease,HCC
4582,disease,HCC
4613,disease,HCC
4854,disease,HCC
50943,disease,HCC
51085,disease,HCC
51164,disease,HCC
51441,disease,HCC
51548,disease,HCC
5300,disease,HCC
5328,disease,HCC
540,disease,HCC
54739,disease,HCC
55353,disease,HCC
55432,disease,HCC
57016,disease,HCC
57019,disease,HCC
57154,disease,HCC
57167,disease,HCC
5733,disease,HCC
5747,disease,HCC
581,disease,HCC
5894,disease,HCC
5920,disease,HCC
5970,disease,HCC
6317,disease,HCC
6319,disease,HCC
6421,disease,HCC
6426,disease,HCC
6472,disease,HCC
6502,disease,HCC
6524,disease,HCC
6646,disease,HCC
6648,disease,HCC
6714,disease,HCC
673,disease,HCC
6790,disease,HCC
682,disease,HCC
6926,disease,HCC
6935,disease,HCC
7104,disease,HCC
7184,disease,HCC
7272,disease,HCC
729230,disease,HCC
7364,disease,HCC
7461,disease,HCC
7514,disease,HCC
7538,disease,HCC
7852,disease,HCC
8100,disease,HCC
8140,disease,HCC
83932,disease,HCC
841,disease,HCC
8431,disease,HCC
8437,disease,HCC
84654,disease,HCC
864,disease,HCC
8644,disease,HCC
8660,disease,HCC
8737,disease,HCC
8795,disease,HCC
8797,disease,HCC
8850,disease,HCC
8880,disease,HCC
8932,disease,HCC
898,disease,HCC
9043,disease,HCC
9094,disease,HCC
9104,disease,HCC
9146,disease,HCC
9368,disease,HCC
9429,disease,HCC
947,disease,HCC
9518,disease,HCC
9582,disease,HCC
9768,disease,HCC
9839,disease,HCC
9927,disease,HCC
9971,disease,HCC
10000,disease,HCC
10002,disease,HCC
10013,disease,HCC
100133941,disease,HCC
10024,disease,HCC
10052,disease,HCC
10058,disease,HCC
10096,disease,HCC
10131,disease,HCC
102,disease,HCC
10213,disease,HCC
10220,disease,HCC
10225,disease,HCC
1026,disease,HCC
10262,disease,HCC
10268,disease,HCC
1027,disease,HCC
103,disease,HCC
10397,disease,HCC
10400,disease,HCC
1048,disease,HCC
1051,disease,HCC
1052,disease,HCC
10524,disease,HCC
10542,disease,HCC
10599,disease,HCC
10612,disease,HCC
10628,disease,HCC
10642,disease,HCC
10645,disease,HCC
10664,disease,HCC
10733,disease,HCC
10788,disease,HCC
1084,disease,HCC
10894,disease,HCC
10912,disease,HCC
10919,disease,HCC
10927,disease,HCC
11016,disease,HCC
1108,disease,HCC
1111,disease,HCC
1116,disease,HCC
11186,disease,HCC
11232,disease,HCC
112616,disease,HCC
11335,disease,HCC
11339,disease,HCC
114548,disease,HCC
1147,disease,HCC
114757,disease,HCC
115509,disease,HCC
116447,disease,HCC
1192,disease,HCC
12,disease,HCC
124540,disease,HCC
127700,disease,HCC
128209,disease,HCC
129563,disease,HCC
1312,disease,HCC
1365,disease,HCC
1373,disease,HCC
1374,disease,HCC
1386,disease,HCC
139341,disease,HCC
1432,disease,HCC
1434,disease,HCC
144165,disease,HCC
144455,disease,HCC
1462,disease,HCC
147841,disease,HCC
1485,disease,HCC
1500,disease,HCC
1559,disease,HCC
1565,disease,HCC
157753,disease,HCC
1586,disease,HCC
1588,disease,HCC
1654,disease,HCC
1660,disease,HCC
1672,disease,HCC
168002,disease,HCC
1735,disease,HCC
1738,disease,HCC
1803,disease,HCC
1806,disease,HCC
1855,disease,HCC
1870,disease,HCC
1892,disease,HCC
1909,disease,HCC
1965,disease,HCC
196528,disease,HCC
1977,disease,HCC
1991,disease,HCC
2002,disease,HCC
2004,disease,HCC
200765,disease,HCC
2022,disease,HCC
2023,disease,HCC
2029,disease,HCC
2064,disease,HCC
2068,disease,HCC
2078,disease,HCC
2099,disease,HCC
2100,disease,HCC
2101,disease,HCC
2104,disease,HCC
2167,disease,HCC
2180,disease,HCC
220213,disease,HCC
2241,disease,HCC
2264,disease,HCC
2273,disease,HCC
2274,disease,HCC
2275,disease,HCC
22880,disease,HCC
22937,disease,HCC
2296,disease,HCC
22974,disease,HCC
23185,disease,HCC
23213,disease,HCC
23408,disease,HCC
23413,disease,HCC
23476,disease,HCC
23650,disease,HCC
23657,disease,HCC
250,disease,HCC
252839,disease,HCC
2539,disease,HCC
256394,disease,HCC
25788,disease,HCC
25937,disease,HCC
25939,disease,HCC
25984,disease,HCC
26073,disease,HCC
261726,disease,HCC
2625,disease,HCC
26276,disease,HCC
26503,disease,HCC
2658,disease,HCC
27044,disease,HCC
27122,disease,HCC
2735,disease,HCC
2737,disease,HCC
274,disease,HCC
27430,disease,HCC
2829,disease,HCC
2833,disease,HCC
284111,disease,HCC
285,disease,HCC
2852,disease,HCC
286077,disease,HCC
286133,disease,HCC
28959,disease,HCC
2944,disease,HCC
2950,disease,HCC
2952,disease,HCC
29766,disease,HCC
29948,disease,HCC
306,disease,HCC
3075,disease,HCC
308,disease,HCC
3083,disease,HCC
3098,disease,HCC
31,disease,HCC
3105,disease,HCC
3123,disease,HCC
3145,disease,HCC
3149,disease,HCC
3156,disease,HCC
3164,disease,HCC
3170,disease,HCC
3181,disease,HCC
3183,disease,HCC
3192,disease,HCC
3204,disease,HCC
3206,disease,HCC
3209,disease,HCC
324,disease,HCC
3242,disease,HCC
328,disease,HCC
330,disease,HCC
3304,disease,HCC
3308,disease,HCC
340273,disease,HCC
3418,disease,HCC
3456,disease,HCC
345651,disease,HCC
348,disease,HCC
3482,disease,HCC
3484,disease,HCC
3486,disease,HCC
3572,disease,HCC
3577,disease,HCC
3611,disease,HCC
362,disease,HCC
366,disease,HCC
3667,disease,HCC
367,disease,HCC
3673,disease,HCC
3679,disease,HCC
3732,disease,HCC
374,disease,HCC
3815,disease,HCC
382,disease,HCC
3838,disease,HCC
3845,disease,HCC
3853,disease,HCC
387,disease,HCC
3880,disease,HCC
389421,disease,HCC
389874,disease,HCC
3925,disease,HCC
3952,disease,HCC
3953,disease,HCC
3956,disease,HCC
3965,disease,HCC
4001,disease,HCC
4015,disease,HCC
405,disease,HCC
4097,disease,HCC
4100,disease,HCC
412,disease,HCC
4124,disease,HCC
4153,disease,HCC
4221,disease,HCC
4255,disease,HCC
4292,disease,HCC
4323,disease,HCC
4335,disease,HCC
4353,disease,HCC
4360,disease,HCC
4363,disease,HCC
4436,disease,HCC
4440,disease,HCC
4548,disease,HCC
4552,disease,HCC
4585,disease,HCC
4616,disease,HCC
462,disease,HCC
4638,disease,HCC
467,disease,HCC
4678,disease,HCC
468,disease,HCC
4683,disease,HCC
4690,disease,HCC
4734,disease,HCC
4735,disease,HCC
4739,disease,HCC
4751,disease,HCC
4771,disease,HCC
4790,disease,HCC
4792,disease,HCC
4830,disease,HCC
4841,disease,HCC
4869,disease,HCC
4893,disease,HCC
493856,disease,HCC
4942,disease,HCC
4953,disease,HCC
4982,disease,HCC
4988,disease,HCC
5004,disease,HCC
5008,disease,HCC
501,disease,HCC
5034,disease,HCC
5037,disease,HCC
50507,disease,HCC
5052,disease,HCC
50616,disease,HCC
50628,disease,HCC
5068,disease,HCC
5071,disease,HCC
5090,disease,HCC
51,disease,HCC
51009,disease,HCC
5105,disease,HCC
5106,disease,HCC
51084,disease,HCC
51129,disease,HCC
51142,disease,HCC
51176,disease,HCC
51231,disease,HCC
51278,disease,HCC
51330,disease,HCC
5134,disease,HCC
51438,disease,HCC
51506,disease,HCC
51529,disease,HCC
5156,disease,HCC
51603,disease,HCC
51663,disease,HCC
51701,disease,HCC
51741,disease,HCC
5176,disease,HCC
5205,disease,HCC
5230,disease,HCC
5244,disease,HCC
5257,disease,HCC
5265,disease,HCC
53345,disease,HCC
5339,disease,HCC
53615,disease,HCC
53827,disease,HCC
53938,disease,HCC
54210,disease,HCC
5434,disease,HCC
5451,disease,HCC
54658,disease,HCC
54881,disease,HCC
5498,disease,HCC
54984,disease,HCC
55249,disease,HCC
55275,disease,HCC
55365,disease,HCC
55544,disease,HCC
55655,disease,HCC
55727,disease,HCC
55753,disease,HCC
5584,disease,HCC
55872,disease,HCC
55893,disease,HCC
55959,disease,HCC
5597,disease,HCC
5604,disease,HCC
56163,disease,HCC
5617,disease,HCC
56477,disease,HCC
56848,disease,HCC
56884,disease,HCC
56892,disease,HCC
56984,disease,HCC
57007,disease,HCC
5710,disease,HCC
57103,disease,HCC
5725,disease,HCC
57403,disease,HCC
57506,disease,HCC
5757,disease,HCC
57608,disease,HCC
57646,disease,HCC
57650,disease,HCC
57720,disease,HCC
57798,disease,HCC
5800,disease,HCC
58490,disease,HCC
586,disease,HCC
5879,disease,HCC
5901,disease,HCC
5914,disease,HCC
5915,disease,HCC
5921,disease,HCC
5922,disease,HCC
5965,disease,HCC
597,disease,HCC
60,disease,HCC
60489,disease,HCC
6091,disease,HCC
6117,disease,HCC
6120,disease,HCC
6232,disease,HCC
6277,disease,HCC
6296,disease,HCC
634,disease,HCC
6343,disease,HCC
6344,disease,HCC
6364,disease,HCC
6387,disease,HCC
6403,disease,HCC
6414,disease,HCC
64328,disease,HCC
64419,disease,HCC
6462,disease,HCC
6469,disease,HCC
64778,disease,HCC
64850,disease,HCC
64881,disease,HCC
650,disease,HCC
65108,disease,HCC
6513,disease,HCC
6517,disease,HCC
6520,disease,HCC
6554,disease,HCC
657,disease,HCC
6573,disease,HCC
6590,disease,HCC
6597,disease,HCC
6609,disease,HCC
6612,disease,HCC
6613,disease,HCC
6615,disease,HCC
6623,disease,HCC
6624,disease,HCC
6659,disease,HCC
6667,disease,HCC
6690,disease,HCC
6716,disease,HCC
6737,disease,HCC
6818,disease,HCC
6894,disease,HCC
6927,disease,HCC
6928,disease,HCC
6934,disease,HCC
7001,disease,HCC
7014,disease,HCC
7024,disease,HCC
7042,disease,HCC
7046,disease,HCC
7076,disease,HCC
7082,disease,HCC
7094,disease,HCC
71,disease,HCC
7114,disease,HCC
7132,disease,HCC
7150,disease,HCC
7170,disease,HCC
7178,disease,HCC
7186,disease,HCC
7187,disease,HCC
7216,disease,HCC
7251,disease,HCC
7258,disease,HCC
7276,disease,HCC
7296,disease,HCC
7341,disease,HCC
7381,disease,HCC
7412,disease,HCC
7421,disease,HCC
7443,disease,HCC
7465,disease,HCC
7490,disease,HCC
7517,disease,HCC
7518,disease,HCC
7520,disease,HCC
753,disease,HCC
7543,disease,HCC
7546,disease,HCC
7707,disease,HCC
7750,disease,HCC
780,disease,HCC
7849,disease,HCC
79019,disease,HCC
79026,disease,HCC
79071,disease,HCC
79258,disease,HCC
79574,disease,HCC
79618,disease,HCC
79623,disease,HCC
79626,disease,HCC
79727,disease,HCC
79805,disease,HCC
79869,disease,HCC
79955,disease,HCC
79971,disease,HCC
80243,disease,HCC
80312,disease,HCC
80315,disease,HCC
80725,disease,HCC
810,disease,HCC
814,disease,HCC
81532,disease,HCC
81567,disease,HCC
81631,disease,HCC
81858,disease,HCC
81930,disease,HCC
8202,disease,HCC
8208,disease,HCC
827,disease,HCC
8289,disease,HCC
8295,disease,HCC
8323,disease,HCC
83439,disease,HCC
83461,disease,HCC
83667,disease,HCC
837,disease,HCC
8379,disease,HCC
8405,disease,HCC
8407,disease,HCC
84171,disease,HCC
84193,disease,HCC
842,disease,HCC
8443,disease,HCC
8445,disease,HCC
8451,disease,HCC
84519,disease,HCC
8462,disease,HCC
84749,disease,HCC
84864,disease,HCC
84868,disease,HCC
8490,disease,HCC
8503,disease,HCC
8505,disease,HCC
8517,disease,HCC
8574,disease,HCC
8607,disease,HCC
8650,disease,HCC
8682,disease,HCC
8685,disease,HCC
8714,disease,HCC
8741,disease,HCC
8771,disease,HCC
8772,disease,HCC
8788,disease,HCC
8826,disease,HCC
8833,disease,HCC
8835,disease,HCC
8837,disease,HCC
8838,disease,HCC
890,disease,HCC
891,disease,HCC
8945,disease,HCC
8974,disease,HCC
89780,disease,HCC
9021,disease,HCC
9032,disease,HCC
9076,disease,HCC
9077,disease,HCC
9113,disease,HCC
9156,disease,HCC
91614,disease,HCC
922,disease,HCC
9221,disease,HCC
9232,disease,HCC
9261,disease,HCC
9271,disease,HCC
929,disease,HCC
9322,disease,HCC
9360,disease,HCC
9365,disease,HCC
9370,disease,HCC
9423,disease,HCC
94241,disease,HCC
9453,disease,HCC
9557,disease,HCC
9589,disease,HCC
9631,disease,HCC
9636,disease,HCC
9655,disease,HCC
9682,disease,HCC
9734,disease,HCC
977,disease,HCC
9794,disease,HCC
98,disease,HCC
9965,disease,HCC
9978,disease,HCC
